Date,Bitcoin Price Percentage Change (%),Bitcoin Price (USD)
2018-09-13,2.529086310464745,6485.99
2018-09-14,-0.12257188185612095,6478.04
2018-09-15,0.6273502479144978,6518.68
2018-09-16,-0.31724214104696485,6498.0
2018-09-17,-3.8057863958140996,6250.7
2018-09-18,1.3598476970579296,6335.7
2018-09-19,0.8087504143188564,6386.94
2018-09-20,1.662298377626846,6493.11
2018-09-21,3.9563475745829093,6750.0
2018-09-22,-0.6321481481481492,6707.33
2018-09-23,-0.15415970289221115,6696.99
2018-09-24,-1.7156961560342725,6582.09
2018-09-25,-2.2059862444907288,6436.89
2018-09-26,0.29160044679961167,6455.66
2018-09-27,3.4752449788247888,6680.01
2018-09-28,-0.8982022482002272,6620.01
2018-09-29,-0.5892740343292566,6581.0
2018-09-30,0.36468621790001515,6605.0
2018-10-01,-0.4870552611657846,6572.83
2018-10-02,-1.1314760917291318,6498.46
2018-10-03,-0.49904131132607243,6466.03
2018-10-04,1.2591961373516682,6547.45
2018-10-05,0.7100474230425553,6593.94
2018-10-06,-0.629517405375228,6552.43
2018-10-07,0.26814479513706685,6570.0
2018-10-08,0.5794520547945161,6608.07
2018-10-09,-0.2813226857463699,6589.48
2018-10-10,-0.9852067234440223,6524.56
2018-10-11,-5.668888016969738,6154.69
2018-10-12,0.5413757638483924,6188.01
2018-10-13,0.1291206704578658,6196.0
2018-10-14,-0.2019044544867692,6183.49
2018-10-15,4.155096878947007,6440.42
2018-10-16,0.25914458994909645,6457.11
2018-10-17,-0.20767804791926814,6443.7
2018-10-18,-0.7563977218057915,6394.96
2018-10-19,-0.18717865318939061,6382.99
2018-10-20,0.4858224750469642,6414.0
2018-10-21,0.029310882444654025,6415.88
2018-10-22,-0.12827546649875735,6407.65
2018-10-23,-0.19523538270659774,6395.14
2018-10-24,0.32587245939884407,6415.98
2018-10-25,-0.31795610335443125,6395.58
2018-10-26,0.14525656781714816,6404.87
2018-10-27,0.06635575741584138,6409.12
2018-10-28,-0.08581521332101755,6403.62
2018-10-29,-2.1490969170562884,6266.0
2018-10-30,0.026013405681457217,6267.63
2018-10-31,0.5831550362736821,6304.18
2018-11-01,0.6316444010164638,6344.0
2018-11-02,0.09142496847415166,6349.8
2018-11-03,-0.28095373082617003,6331.96
2018-11-04,1.4422074681457195,6423.28
2018-11-05,-0.300158174639744,6404.0
2018-11-06,0.6948782011242973,6448.5
2018-11-07,0.8470186865162423,6503.12
2018-11-08,-1.489746460160663,6406.24
2018-11-09,-1.1137578361097844,6334.89
2018-11-10,0.19779348970542102,6347.42
2018-11-11,0.16038012294759588,6357.6
2018-11-12,-0.4676292940732426,6327.87
2018-11-13,-1.0829868502355413,6259.34
2018-11-14,-10.44646879702972,5605.46
2018-11-15,-0.4627630916998712,5579.52
2018-11-16,-1.2058384950676877,5512.24
2018-11-17,-0.14640146292613726,5504.17
2018-11-18,1.014321868692281,5560.0
2018-11-19,-14.865107913669066,4733.5
2018-11-20,-8.118094433294612,4349.23
2018-11-21,4.503785727588565,4545.11
2018-11-22,-6.154966546464222,4265.36
2018-11-23,0.4323198979687649,4283.8
2018-11-24,-11.87753863392316,3774.99
2018-11-25,4.283455055510088,3936.69
2018-11-26,-5.216819205982688,3731.32
2018-11-27,1.170631304739337,3775.0
2018-11-28,11.921324503311252,4225.03
2018-11-29,0.5436647787116365,4248.0
2018-11-30,-6.4030131826742,3976.0
2018-12-01,4.1753018108651965,4142.01
2018-12-02,-0.937226129343015,4103.19
2018-12-03,-6.573422142284413,3833.47
2018-12-04,1.7835016316809664,3901.84
2018-12-05,-5.316722366883323,3694.39
2018-12-06,-7.068284615322142,3433.26
2018-12-07,-1.5510040020272275,3380.01
2018-12-08,0.6210040798695797,3401.0
2018-12-09,3.827697735960007,3531.18
2018-12-10,-3.427466172780763,3410.15
2018-12-11,-1.782619532865122,3349.36
2018-12-12,2.4147896911648687,3430.24
2018-12-13,-4.817155650916548,3265.0
2018-12-14,-2.1222052067381307,3195.71
2018-12-15,-0.39772069430580487,3183.0
2018-12-16,0.3770028275212064,3195.0
2018-12-17,9.446635367762134,3496.82
2018-12-18,4.888727472389194,3667.77
2018-12-19,0.40187907093411623,3682.51
2018-12-20,10.667452362654817,4075.34
2018-12-21,-5.797798465894875,3839.06
2018-12-22,3.6831932816887494,3980.46
2018-12-23,-0.8926104018128609,3944.93
2018-12-24,2.2578347397799243,4034.0
2018-12-25,-6.296479920674268,3780.0
2018-12-26,0.7904761904761933,3809.88
2018-12-27,-5.774197612523235,3589.89
2018-12-28,8.30582552668745,3888.06
2018-12-29,-4.083013122225481,3729.31
2018-12-30,2.673148652163538,3829.0
2018-12-31,-3.5816139984330078,3691.86
2019-01-01,3.6361075447064564,3826.1
2019-01-02,1.6907555996968207,3890.79
2019-01-03,-2.6529316668337226,3787.57
2019-01-04,0.8628223372769304,3820.25
2019-01-05,-0.5661933119560267,3798.62
2019-01-06,6.380475014610567,4040.99
2019-01-07,-0.8656294620872501,4006.01
2019-01-08,-0.3032943003137808,3993.86
2019-01-09,0.2568943328008434,4004.12
2019-01-10,-9.440276515189355,3626.12
